Simulation,Nb_agents,Gamma,Alpha,Beta,Blue_time,Red_time,Final_time
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
